61|4673712|HM275008|04/05/2006 04:00:00 PM|020XX N FREMONT ST|0810|THEFT|OVER $500|STREET|False|False|1812|18.0|43.0|7.0|06|1169965.0|1913713.0|2006|04/15/2016 08:55:02 AM|41.918727429|-87.650956601|(41.918727429, -87.650956601)
62|4673713|HM203888|02/27/2006 01:41:15 PM|047XX S WESTERN AVE|2090|NARCOTICS|ALTER/FORGE PRESCRIPTION|DRUG STORE|True|False|911|9.0|12.0|58.0|18|1161164.0|1873304.0|2006|04/15/2016 08:55:02 AM|41.808028819|-87.684414463|(41.808028819, -87.684414463)
63|4673716|HM263445|03/30/2006 11:05:00 AM|068XX S STEWART AVE|0484|BATTERY|PRO EMP HANDS NO/MIN INJURY|SCHOOL, PUBLIC, BUILDING|False|False|722|7.0|6.0|68.0|08B|1174651.0|1859743.0|2006|04/15/2016 08:55:02 AM|41.770525914|-87.635351487|(41.770525914, -87.635351487)
64|4673717|HM274247|04/05/2006 08:48:13 PM|042XX W THOMAS ST|0430|BATTERY|AGGRAVATED: OTHER DANG WEAPON|OTHER|False|False|1111|11.0|37.0|23.0|04B|1147978.0|1906999.0|2006|04/15/2016 08:55:02 AM|41.9007552|-87.7319123|(41.9007552, -87.7319123)
65|4673718|HM187194|02/17/2006 10:24:43 PM|066XX S CAMPBELL AVE|1811|NARCOTICS|POSS: CANNABIS 30GMS OR LESS|APARTMENT|True|False|832|8.0|15.0|66.0|18|1160853.0|1860499.0|2006|04/15/2016 08:55:02 AM|41.772896632|-87.685908815|(41.772896632, -87.685908815)
66|4673719|HM163908|02/04/2006 11:50:00 PM|007XX N LAVERGNE AVE|2027|NARCOTICS|POSS: CRACK|SIDEWALK|True|False|1531|15.0|28.0|25.0|18|1142884.0|1904624.0|2006|04/15/2016 08:55:02 AM|41.894334398|-87.750682353|(41.894334398, -87.750682353)
67|4673720|HM203894|02/27/2006 01:45:00 PM|034XX W WILSON AVE|1811|NARCOTICS|POSS: CANNABIS 30GMS OR LESS|SCHOOL, PUBLIC, BUILDING|True|False|1723|17.0|33.0|14.0|18|1152455.0|1930350.0|2006|04/15/2016 08:55:02 AM|41.964744922|-87.714849143|(41.964744922, -87.714849143)
68|4673721|HM274491|04/02/2006 12:30:00 PM|074XX S CHAPPEL AVE|3960|INTIMIDATION|INTIMIDATION|APARTMENT|False|False|333|3.0|5.0|43.0|26|1191171.0|1855946.0|2006|04/15/2016 08:55:02 AM|41.759722788|-87.574919245|(41.759722788, -87.574919245)
69|4673723|HM274686|04/06/2006 01:00:00 AM|078XX S LUELLA AVE|1320|CRIMINAL DAMAGE|TO VEHICLE|STREET|False|False|414|4.0|7.0|43.0|14|1192563.0|1853313.0|2006|04/15/2016 08:55:02 AM|41.752463832|-87.569903305|(41.752463832, -87.569903305)
70|4673726|HM263464|03/05/2006 09:00:00 AM|017XX W 64TH ST|0890|THEFT|FROM BUILDING|RESIDENCE PORCH/HALLWAY|False|False|725|7.0|15.0|67.0|06|1165671.0|1862250.0|2006|04/15/2016 08:55:02 AM|41.777600719|-87.668197571|(41.777600719, -87.668197571)
